year,title,artist,number
2018,가을 안부 ,먼데이 키즈 (Monday Kiz),30669593
2018,FAKE LOVE ,방탄소년단,31085237
2018,봄날 ,방탄소년단,30244931
2018,Dance The Night Away ,TWICE (트와이스),31175119
2018,꽃 길 ,BIGBANG (빅뱅),30948698
2018,밤편지 ,아이유,30314784
2018,열애중 ,벤,31062863
2018,미안해 ,양다일,30809895
2018,비행운 ,문문 (MoonMoon),30086173
2018,What is Love? ,TWICE (트와이스),31006730
2018,instagram ,DEAN,30806580
2018,그리워하다 ,비투비,30672529
2018,이 별 ,길구봉구,30637776
2018,Bad Boy ,Red Velvet (레드벨벳),30864993
2018,밤이 되니까 ,펀치 (Punch),30659630
2018,Forever Young ,BLACKPINK,31131274
2018,Beautiful ,Wanna One (워너원),30725482
2018,Heart Shaker ,TWICE (트와이스),30781481
2018,밤 (Time for the moon night) ,여자친구 (GFRIEND),31052421
2018,에너제틱 (Energetic) ,Wanna One (워너원),30568338
2018,좋니 ,윤종신,30486509
2018,하루도 그대를 사랑하지 않은 적이 없었다 ,임창정,31316695
2018,#첫사랑 ,볼빨간사춘기,30829858
2018,붕붕 (Feat. 식케이) (Prod. GroovyRoom) ,김하온 (HAON),31019584
2018,소나기 (Feat. 10cm) ,용준형,30970444
2018,비도 오고 그래서 (Feat. 신용재) ,헤이즈 (Heize),30492279
2018,1도 없어 ,Apink (에이핑크),31161280
2018,Universe ,EXO,30806536
2018,너 없인 안 된다 ,비투비,31133898
2018,삐삐 ,아이유,31346009
2018,all of my life ,박원,30550388
2018,넋두리 ,닐로(Nilo),9642570
2018,너나 해 (Egotistic) ,마마무 (Mamamoo),31189241
2018,주인공 ,선미,30838076
2019,사랑에 연습이 있었다면 (Prod. 2soo) ,임재현,31324607
2019,그때가 좋았어 ,케이시 (Kassy),31524320
2019,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey) ,방탄소년단,31737197
2019,넘쳐흘러 ,엠씨더맥스 (M.C the MAX),31532643
